Vardas              Pavarde             Galutinis (Vid.)
Vardas19423         Pavarde19423        5.00
Vardas49995         Pavarde49995        5.00
Vardas68089         Pavarde68089        5.00
Vardas61154         Pavarde61154        5.00
Vardas68096         Pavarde68096        5.00
Vardas19356         Pavarde19356        5.00
Vardas19345         Pavarde19345        5.00
Vardas4567          Pavarde4567         5.00
Vardas4579          Pavarde4579         5.00
Vardas48398         Pavarde48398        5.00
Vardas68189         Pavarde68189        5.00
Vardas34419         Pavarde34419        5.00
Vardas19280         Pavarde19280        5.00
Vardas86059         Pavarde86059        5.00
Vardas34355         Pavarde34355        5.00
Vardas79265         Pavarde79265        5.00
Vardas25130         Pavarde25130        5.00
Vardas86166         Pavarde86166        5.00
Vardas68321         Pavarde68321        5.00
Vardas48583         Pavarde48583        5.00
Vardas40723         Pavarde40723        5.00
Vardas19061         Pavarde19061        5.00
Vardas82137         Pavarde82137        5.00
Vardas68387         Pavarde68387        5.00
Vardas48627         Pavarde48627        5.00
Vardas68433         Pavarde68433        5.00
Vardas34189         Pavarde34189        5.00
Vardas5051          Pavarde5051         5.00
Vardas60744         Pavarde60744        5.00
Vardas40832         Pavarde40832        5.00
Vardas40837         Pavarde40837        5.00
Vardas51593         Pavarde51593        5.00
Vardas5127          Pavarde5127         5.00
Vardas86451         Pavarde86451        5.00
Vardas86460         Pavarde86460        5.00
Vardas34127         Pavarde34127        5.00
Vardas34119         Pavarde34119        5.00
Vardas25307         Pavarde25307        5.00
Vardas79022         Pavarde79022        5.00
Vardas51553         Pavarde51553        5.00
Vardas25322         Pavarde25322        5.00
Vardas86489         Pavarde86489        5.00
Vardas68549         Pavarde68549        5.00
Vardas25343         Pavarde25343        5.00
Vardas60570         Pavarde60570        5.00
Vardas40992         Pavarde40992        5.00
Vardas60543         Pavarde60543        5.00
Vardas18801         Pavarde18801        5.00
Vardas34024         Pavarde34024        5.00
Vardas41076         Pavarde41076        5.00
Vardas18754         Pavarde18754        5.00
Vardas54476         Pavarde54476        5.00
Vardas5346          Pavarde5346         5.00
Vardas5388          Pavarde5388         5.00
Vardas18709         Pavarde18709        5.00
Vardas78829         Pavarde78829        5.00
Vardas37009         Pavarde37009        5.00
Vardas62972         Pavarde62972        5.00
Vardas18625         Pavarde18625        5.00
Vardas33885         Pavarde33885        5.00
Vardas18587         Pavarde18587        5.00
Vardas60211         Pavarde60211        5.00
Vardas68831         Pavarde68831        5.00
Vardas18572         Pavarde18572        5.00
Vardas68908         Pavarde68908        5.00
Vardas33779         Pavarde33779        5.00
Vardas68965         Pavarde68965        5.00
Vardas86942         Pavarde86942        5.00
Vardas86946         Pavarde86946        5.00
Vardas78636         Pavarde78636        5.00
Vardas5739          Pavarde5739         5.00
Vardas60032         Pavarde60032        5.00
Vardas51152         Pavarde51152        5.00
Vardas5800          Pavarde5800         5.00
Vardas41437         Pavarde41437        5.00
Vardas59987         Pavarde59987        5.00
Vardas49086         Pavarde49086        5.00
Vardas5840          Pavarde5840         5.00
Vardas5852          Pavarde5852         5.00
Vardas41497         Pavarde41497        5.00
Vardas87075         Pavarde87075        5.00
Vardas49114         Pavarde49114        5.00
Vardas41533         Pavarde41533        5.00
Vardas49126         Pavarde49126        5.00
Vardas49127         Pavarde49127        5.00
Vardas18304         Pavarde18304        5.00
Vardas87134         Pavarde87134        5.00
Vardas51025         Pavarde51025        5.00
Vardas87225         Pavarde87225        5.00
Vardas87233         Pavarde87233        5.00
Vardas50988         Pavarde50988        5.00
Vardas54450         Pavarde54450        5.00
Vardas41646         Pavarde41646        5.00
Vardas59721         Pavarde59721        5.00
Vardas59712         Pavarde59712        5.00
Vardas18168         Pavarde18168        5.00
Vardas33490         Pavarde33490        5.00
Vardas50915         Pavarde50915        5.00
Vardas87292         Pavarde87292        5.00
Vardas59606         Pavarde59606        5.00
Vardas50863         Pavarde50863        5.00
Vardas33424         Pavarde33424        5.00
Vardas87419         Pavarde87419        5.00
Vardas45929         Pavarde45929        5.00
Vardas78325         Pavarde78325        5.00
Vardas78323         Pavarde78323        5.00
Vardas33399         Pavarde33399        5.00
Vardas33364         Pavarde33364        5.00
Vardas22873         Pavarde22873        5.00
Vardas6338          Pavarde6338         5.00
Vardas78259         Pavarde78259        5.00
Vardas87555         Pavarde87555        5.00
Vardas6381          Pavarde6381         5.00
Vardas87565         Pavarde87565        5.00
Vardas69527         Pavarde69527        5.00
Vardas49429         Pavarde49429        5.00
Vardas69557         Pavarde69557        5.00
Vardas49459         Pavarde49459        5.00
Vardas37331         Pavarde37331        5.00
Vardas17817         Pavarde17817        5.00
Vardas87707         Pavarde87707        5.00
Vardas17804         Pavarde17804        5.00
Vardas64760         Pavarde64760        5.00
Vardas33209         Pavarde33209        5.00
Vardas59258         Pavarde59258        5.00
Vardas59243         Pavarde59243        5.00
Vardas78102         Pavarde78102        5.00
Vardas49516         Pavarde49516        5.00
Vardas69655         Pavarde69655        5.00
Vardas50530         Pavarde50530        5.00
Vardas59175         Pavarde59175        5.00
Vardas64757         Pavarde64757        5.00
Vardas6654          Pavarde6654         5.00
Vardas33138         Pavarde33138        5.00
Vardas69739         Pavarde69739        5.00
Vardas69765         Pavarde69765        5.00
Vardas33079         Pavarde33079        5.00
Vardas33062         Pavarde33062        5.00
Vardas50396         Pavarde50396        5.00
Vardas42267         Pavarde42267        5.00
Vardas17600         Pavarde17600        5.00
Vardas6823          Pavarde6823         5.00
Vardas33027         Pavarde33027        5.00
Vardas26205         Pavarde26205        5.00
Vardas42335         Pavarde42335        5.00
Vardas88049         Pavarde88049        5.00
Vardas88114         Pavarde88114        5.00
Vardas58850         Pavarde58850        5.00
Vardas32935         Pavarde32935        5.00
Vardas7024          Pavarde7024         5.00
Vardas46186         Pavarde46186        5.00
Vardas58790         Pavarde58790        5.00
Vardas88205         Pavarde88205        5.00
Vardas7             Pavarde7            5.00
Vardas88325         Pavarde88325        5.00
Vardas7147          Pavarde7147         5.00
Vardas42578         Pavarde42578        5.00
Vardas88364         Pavarde88364        5.00
Vardas88378         Pavarde88378        5.00
Vardas58646         Pavarde58646        5.00
Vardas58624         Pavarde58624        5.00
Vardas17205         Pavarde17205        5.00
Vardas96119         Pavarde96119        5.00
Vardas99987         Pavarde99987        5.00
Vardas88429         Pavarde88429        5.00
Vardas99973         Pavarde99973        5.00
Vardas26450         Pavarde26450        5.00
Vardas70249         Pavarde70249        5.00
Vardas26477         Pavarde26477        5.00
Vardas88481         Pavarde88481        5.00
Vardas26495         Pavarde26495        5.00
Vardas32676         Pavarde32676        5.00
Vardas58426         Pavarde58426        5.00
Vardas42799         Pavarde42799        5.00
Vardas32632         Pavarde32632        5.00
Vardas99692         Pavarde99692        5.00
Vardas32622         Pavarde32622        5.00
Vardas7535          Pavarde7535         5.00
