Vardas              Pavarde             Galutinis (Vid.)
Vardas65561         Pavarde65561        1.08
Vardas20353         Pavarde20353        1.16
Vardas39928         Pavarde39928        1.16
Vardas71567         Pavarde71567        1.16
Vardas28531         Pavarde28531        1.24
Vardas12276         Pavarde12276        1.32
Vardas27308         Pavarde27308        1.32
Vardas53330         Pavarde53330        1.32
Vardas36958         Pavarde36958        1.32
Vardas90537         Pavarde90537        1.32
Vardas89665         Pavarde89665        1.32
Vardas57229         Pavarde57229        1.40
Vardas79431         Pavarde79431        1.40
Vardas16569         Pavarde16569        1.40
Vardas81403         Pavarde81403        1.40
Vardas98271         Pavarde98271        1.40
Vardas4152          Pavarde4152         1.40
Vardas61115         Pavarde61115        1.40
Vardas65658         Pavarde65658        1.48
Vardas48972         Pavarde48972        1.48
Vardas43707         Pavarde43707        1.48
Vardas20941         Pavarde20941        1.48
Vardas57053         Pavarde57053        1.48
Vardas5089          Pavarde5089         1.48
Vardas82208         Pavarde82208        1.48
Vardas98626         Pavarde98626        1.48
Vardas99671         Pavarde99671        1.48
Vardas85967         Pavarde85967        1.48
Vardas63679         Pavarde63679        1.48
Vardas20383         Pavarde20383        1.48
Vardas75936         Pavarde75936        1.48
Vardas17149         Pavarde17149        1.48
Vardas33891         Pavarde33891        1.48
Vardas69668         Pavarde69668        1.48
Vardas91904         Pavarde91904        1.48
Vardas47671         Pavarde47671        1.48
Vardas28051         Pavarde28051        1.48
Vardas69818         Pavarde69818        1.48
Vardas89173         Pavarde89173        1.48
Vardas62669         Pavarde62669        1.48
Vardas3693          Pavarde3693         1.48
Vardas51490         Pavarde51490        1.56
Vardas95337         Pavarde95337        1.56
Vardas53015         Pavarde53015        1.56
Vardas68496         Pavarde68496        1.56
Vardas35953         Pavarde35953        1.56
Vardas81383         Pavarde81383        1.56
Vardas18994         Pavarde18994        1.56
Vardas16443         Pavarde16443        1.56
Vardas98259         Pavarde98259        1.56
Vardas17311         Pavarde17311        1.56
Vardas33528         Pavarde33528        1.56
Vardas21382         Pavarde21382        1.56
Vardas37157         Pavarde37157        1.56
Vardas66019         Pavarde66019        1.56
Vardas25128         Pavarde25128        1.56
Vardas94402         Pavarde94402        1.56
Vardas34289         Pavarde34289        1.56
Vardas74525         Pavarde74525        1.56
Vardas41772         Pavarde41772        1.56
Vardas98351         Pavarde98351        1.56
Vardas76397         Pavarde76397        1.56
Vardas8635          Pavarde8635         1.56
Vardas975           Pavarde975          1.56
Vardas76563         Pavarde76563        1.56
Vardas97198         Pavarde97198        1.56
Vardas8695          Pavarde8695         1.56
Vardas90400         Pavarde90400        1.56
Vardas70903         Pavarde70903        1.56
Vardas29040         Pavarde29040        1.56
Vardas82963         Pavarde82963        1.56
Vardas88840         Pavarde88840        1.56
Vardas12515         Pavarde12515        1.56
Vardas82709         Pavarde82709        1.56
Vardas87793         Pavarde87793        1.56
Vardas1878          Pavarde1878         1.60
Vardas68042         Pavarde68042        1.64
Vardas79101         Pavarde79101        1.64
Vardas4605          Pavarde4605         1.64
Vardas32508         Pavarde32508        1.64
Vardas65612         Pavarde65612        1.64
Vardas2898          Pavarde2898         1.64
Vardas71060         Pavarde71060        1.64
Vardas35238         Pavarde35238        1.64
Vardas44599         Pavarde44599        1.64
